episode,time,task,fatigue,skill_level,semaphore_state,sampling_rate,robot_active,collision
43,0,rest,27.516160184046157,2,green,5.0,False,False
43,15,hmi_supervision,37.566160184046154,2,orange,2.0,False,False
43,30,material_delivery,51.51616018404616,3,red,0.1,True,False
43,45,packaging,67.56616018404615,4,red,0.1,True,False
44,0,rest,27.973130470667538,2,green,5.0,False,False
44,15,hmi_supervision,38.02313047066754,2,orange,2.0,False,False
44,30,material_delivery,51.97313047066754,3,red,0.1,True,False
44,45,packaging,68.02313047066754,4,red,0.1,True,False
45,0,rest,29.173482741860504,2,green,5.0,False,False
45,15,hmi_supervision,39.22348274186051,2,orange,2.0,False,False
45,30,material_delivery,53.17348274186051,3,red,0.1,True,False
45,45,packaging,69.22348274186051,4,red,0.1,True,False
46,0,rest,28.06528530117863,2,green,5.0,False,False
46,15,hmi_supervision,38.11528530117863,2,orange,2.0,False,False
46,30,material_delivery,52.06528530117863,3,red,0.1,True,False
46,45,packaging,68.11528530117863,4,red,0.1,True,False
47,0,rest,27.7757444871506,2,green,5.0,False,False
47,15,hmi_supervision,37.8257444871506,2,orange,2.0,False,False
47,30,material_delivery,51.775744487150604,3,red,0.1,True,False
47,45,packaging,67.8257444871506,4,red,0.1,True,False
48,0,rest,27.835246084121867,2,green,5.0,False,False
48,15,hmi_supervision,37.88524608412187,2,orange,2.0,False,False
48,30,material_delivery,51.83524608412187,3,red,0.1,True,False
48,45,packaging,67.88524608412187,4,red,0.1,True,False
49,0,rest,28.267834428633808,2,green,5.0,False,False
49,15,hmi_supervision,38.31783442863381,2,orange,2.0,False,False
49,30,material_delivery,52.26783442863381,3,red,0.1,True,False
49,45,packaging,68.31783442863382,4,red,0.1,True,False
50,0,rest,27.39362979783011,2,green,5.0,False,False
50,15,hmi_supervision,37.44362979783011,2,orange,2.0,False,False
50,30,material_delivery,51.393629797830116,3,red,0.1,True,False
50,45,packaging,67.44362979783011,4,red,0.1,True,False
51,0,rest,27.623682217311597,2,green,5.0,False,False
51,15,hmi_supervision,37.673682217311594,2,orange,2.0,False,False
51,30,material_delivery,51.6236822173116,3,red,0.1,True,False
51,45,packaging,67.6736822173116,4,red,0.1,True,False
52,0,rest,28.686551588276554,2,green,5.0,False,False
52,15,hmi_supervision,38.736551588276555,2,orange,2.0,False,False
52,30,material_delivery,52.68655158827656,3,red,0.1,True,False
52,45,packaging,68.73655158827655,4,red,0.1,True,False
53,0,rest,28.24656333224476,2,green,5.0,False,False
53,15,hmi_supervision,38.29656333224476,2,orange,2.0,False,False
53,30,material_delivery,52.24656333224476,3,red,0.1,True,False
53,45,packaging,68.29656333224476,4,red,0.1,True,False
54,0,rest,28.07280816201103,2,green,5.0,False,False
54,15,hmi_supervision,38.122808162011026,2,orange,2.0,False,False
